Location,x,y
SGP1,12.62,22.16
SGP2,12.85,23.76
SGP3,19.72,10.36
SGP4,16.37,14.95
SGP5,14.03,8.26
SGP6,11.66,6.56
SGP7,2.44,14.33
SGP8,11.85,15.24
SGP9,12.92,17.68
SGP10,13.07,11.3
SGP11,6.69,14.78
SGP12,6.71,19.08
MW1A,12.3,21.93
MW1B,12.8,22.54
MW1C,13.05,21.93
MW2A,13.99,7
MW2B,13.52,6.68
MW2C,14.38,6.77
MW3,11.68,15.96
MW1,12.67,22.14
MW2,13.94,6.79
SSP1,11.69,15.05
SSP2,13.5,10.97
SSP3,6.53,14.92
SSP4,12.46,17.68
SSP5,6.23,18.58
SSP6,4.86,11.24
SSP7,6.23,15.21
WP1,10.93,9.78
WP2,15.19,14.47
WP3,11.22,20.73
WP4,3.34,14.47
