Soil,Sub-base,T,C
Sandy Clay,Uniform,-15,8.24E-05
Sandy Clay,Uniform,-10,8.18E-05
Sandy Clay,Uniform,-5,8.12E-05
Sandy Clay,Uniform,0,8.07E-05
Sandy Clay,Uniform,5,8.01E-05
Sandy Clay,Uniform,10,7.96E-05
Sandy Clay,Uniform,15,7.90E-05
Sandy Clay,Uniform,20,7.85E-05
Sandy Clay,Uniform,25,7.80E-05
Sandy Clay,Uniform,30,7.75E-05
Loamy Sand,Uniform,-15,1.23E-04
Loamy Sand,Uniform,-10,1.22E-04
Loamy Sand,Uniform,-5,1.20E-04
Loamy Sand,Uniform,0,1.19E-04
Loamy Sand,Uniform,5,1.18E-04
Loamy Sand,Uniform,10,1.17E-04
Loamy Sand,Uniform,15,1.16E-04
Loamy Sand,Uniform,20,1.15E-04
Loamy Sand,Uniform,25,1.14E-04
Loamy Sand,Uniform,30,1.13E-04
Sand,Uniform,-15,9.43E-05
Sand,Uniform,-10,9.32E-05
Sand,Uniform,-5,9.21E-05
Sand,Uniform,0,9.10E-05
Sand,Uniform,5,9.00E-05
Sand,Uniform,10,8.90E-05
Sand,Uniform,15,8.80E-05
Sand,Uniform,20,8.71E-05
Sand,Uniform,25,8.62E-05
Sand,Uniform,30,8.53E-05
Sandy Clay,Gravel,-15,8.90E-05
Sandy Clay,Gravel,-10,8.84E-05
Sandy Clay,Gravel,-5,8.78E-05
Sandy Clay,Gravel,0,8.72E-05
Sandy Clay,Gravel,5,8.67E-05
Sandy Clay,Gravel,10,8.61E-05
Sandy Clay,Gravel,15,8.56E-05
Sandy Clay,Gravel,20,8.51E-05
Sandy Clay,Gravel,25,8.46E-05
Sandy Clay,Gravel,30,8.41E-05
Loamy Sand,Gravel,-15,1.27E-04
Loamy Sand,Gravel,-10,1.26E-04
Loamy Sand,Gravel,-5,1.25E-04
Loamy Sand,Gravel,0,1.24E-04
Loamy Sand,Gravel,5,1.23E-04
Loamy Sand,Gravel,10,1.22E-04
Loamy Sand,Gravel,15,1.21E-04
Loamy Sand,Gravel,20,1.20E-04
Loamy Sand,Gravel,25,1.19E-04
Loamy Sand,Gravel,30,1.18E-04
Sand,Gravel,-15,9.40E-05
Sand,Gravel,-10,9.29E-05
Sand,Gravel,-5,9.18E-05
Sand,Gravel,0,9.07E-05
Sand,Gravel,5,8.97E-05
Sand,Gravel,10,8.87E-05
Sand,Gravel,15,8.77E-05
Sand,Gravel,20,8.68E-05
Sand,Gravel,25,8.59E-05
Sand,Gravel,30,8.50E-05
